head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
-1.24978,0.510964,3.07563,-1.30605,0.317265,3.03132,-1.27357,-0.0427288,3.00676,-1.26747,-0.110548,3.00412,-1.35122,0.193744,2.89447,-1.4322,0.0705572,2.75437,-1.38349,-0.17566,2.75378,-1.36726,-0.257522,2.75779,-1.25561,0.190738,3.17166,-1.27813,0.0399006,2.99723,-1.24509,-0.235181,3.01336,-1.25038,-0.387026,3.00656,-1.2828,-0.177528,2.93347,-1.28951,-0.681663,2.87327,-1.31335,-1.07241,2.85796,-1.28183,-1.14455,2.85692,-1.23981,-0.17924,3.05921,-1.25619,-0.719051,3.08712,-1.30364,-1.10024,3.00145,-1.27251,-1.15583,3.01209,10_37_216
-1.24978,0.510964,3.07563,-1.30605,0.317265,3.03132,-1.27357,-0.0427288,3.00676,-1.26747,-0.110548,3.00412,-1.35122,0.193744,2.89447,-1.4322,0.0705572,2.75437,-1.38349,-0.17566,2.75378,-1.36726,-0.257522,2.75779,-1.25561,0.190738,3.17166,-1.27813,0.0399006,2.99723,-1.24509,-0.235181,3.01336,-1.25038,-0.387026,3.00656,-1.2828,-0.177528,2.93347,-1.28951,-0.681663,2.87327,-1.31335,-1.07241,2.85796,-1.28183,-1.14455,2.85692,-1.23981,-0.17924,3.05921,-1.25619,-0.719051,3.08712,-1.30364,-1.10024,3.00145,-1.27251,-1.15583,3.01209,10_37_216
-1.24973,0.510899,3.07543,-1.30611,0.317325,3.0315,-1.27357,-0.0428882,3.00674,-1.26732,-0.112445,3.00388,-1.35123,0.193752,2.89443,-1.43245,0.0705153,2.75383,-1.38351,-0.175756,2.7537,-1.36725,-0.257635,2.7578,-1.25582,0.191145,3.17206,-1.27945,0.0358195,2.99702,-1.24746,-0.23946,3.01219,-1.25262,-0.375972,3.00115,-1.28268,-0.179533,2.933,-1.28954,-0.681757,2.87336,-1.31363,-1.07171,2.85686,-1.28183,-1.1445,2.85678,-1.23946,-0.182303,3.05888,-1.2562,-0.718999,3.08701,-1.30455,-1.10125,3.00327,-1.27226,-1.15671,3.01307,10_37_248
-1.24973,0.510899,3.07543,-1.30611,0.317325,3.0315,-1.27357,-0.0428882,3.00674,-1.26732,-0.112445,3.00388,-1.35123,0.193752,2.89443,-1.43245,0.0705153,2.75383,-1.38351,-0.175756,2.7537,-1.36725,-0.257635,2.7578,-1.25582,0.191145,3.17206,-1.27945,0.0358195,2.99702,-1.24746,-0.23946,3.01219,-1.25262,-0.375972,3.00115,-1.28268,-0.179533,2.933,-1.28954,-0.681757,2.87336,-1.31363,-1.07171,2.85686,-1.28183,-1.1445,2.85678,-1.23946,-0.182303,3.05888,-1.2562,-0.718999,3.08701,-1.30455,-1.10125,3.00327,-1.27226,-1.15671,3.01307,10_37_248
-1.24964,0.510827,3.07529,-1.30617,0.317401,3.03175,-1.27354,-0.0436964,3.00676,-1.26712,-0.11507,3.00371,-1.35124,0.193761,2.89441,-1.43269,0.070411,2.75345,-1.3836,-0.175706,2.75357,-1.36732,-0.257446,2.75769,-1.25597,0.191438,3.17236,-1.2747,0.0244065,3.00328,-1.24716,-0.248161,3.01354,-1.25146,-0.371338,2.99805,-1.28256,-0.182051,2.93265,-1.2896,-0.681869,2.87351,-1.31346,-1.07256,2.8583,-1.28182,-1.14447,2.8567,-1.23909,-0.185706,3.05868,-1.25621,-0.71898,3.08693,-1.30498,-1.10181,3.00438,-1.27226,-1.15752,3.01314,10_37_279
-1.24964,0.510827,3.07529,-1.30617,0.317401,3.03175,-1.27354,-0.0436964,3.00676,-1.26712,-0.11507,3.00371,-1.35124,0.193761,2.89441,-1.43269,0.070411,2.75345,-1.3836,-0.175706,2.75357,-1.36732,-0.257446,2.75769,-1.25597,0.191438,3.17236,-1.2747,0.0244065,3.00328,-1.24716,-0.248161,3.01354,-1.25146,-0.371338,2.99805,-1.28256,-0.182051,2.93265,-1.2896,-0.681869,2.87351,-1.31346,-1.07256,2.8583,-1.28182,-1.14447,2.8567,-1.23909,-0.185706,3.05868,-1.25621,-0.71898,3.08693,-1.30498,-1.10181,3.00438,-1.27226,-1.15752,3.01314,10_37_279
-1.24955,0.510755,3.07518,-1.30637,0.317493,3.03226,-1.27358,-0.0436958,3.00683,-1.2671,-0.115471,3.00369,-1.35125,0.19377,2.89441,-1.4329,0.0703179,2.75314,-1.38376,-0.175559,2.75342,-1.3675,-0.257106,2.75756,-1.25607,0.191641,3.17259,-1.26651,0.00936157,3.01422,-1.24515,-0.259137,3.01701,-1.24733,-0.371063,2.99908,-1.28251,-0.182509,2.93246,-1.28966,-0.682086,2.87377,-1.31357,-1.07236,2.85803,-1.28182,-1.14445,2.85662,-1.239,-0.186464,3.05866,-1.25622,-0.71897,3.08686,-1.30534,-1.10234,3.00546,-1.27246,-1.15861,3.01331,10_37_326
-1.24955,0.510755,3.07518,-1.30637,0.317493,3.03226,-1.27358,-0.0436958,3.00683,-1.2671,-0.115471,3.00369,-1.35125,0.19377,2.89441,-1.4329,0.0703179,2.75314,-1.38376,-0.175559,2.75342,-1.3675,-0.257106,2.75756,-1.25607,0.191641,3.17259,-1.26651,0.00936157,3.01422,-1.24515,-0.259137,3.01701,-1.24733,-0.371063,2.99908,-1.28251,-0.182509,2.93246,-1.28966,-0.682086,2.87377,-1.31357,-1.07236,2.85803,-1.28182,-1.14445,2.85662,-1.239,-0.186464,3.05866,-1.25622,-0.71897,3.08686,-1.30534,-1.10234,3.00546,-1.27246,-1.15861,3.01331,10_37_326
-1.24944,0.5107,3.0751,-1.30653,0.31757,3.03281,-1.2736,-0.0438251,3.00693,-1.26707,-0.115943,3.00372,-1.35126,0.193782,2.89442,-1.43314,0.0704689,2.75255,-1.38396,-0.175334,2.75326,-1.36772,-0.25682,2.7575,-1.25614,0.191777,3.17277,-1.25737,-0.00552128,3.02661,-1.24207,-0.269819,3.02068,-1.24145,-0.373586,3.00269,-1.28245,-0.182908,2.93232,-1.28981,-0.682816,2.87484,-1.31301,-1.07483,2.86164,-1.28179,-1.14447,2.85654,-1.23884,-0.188194,3.05894,-1.25623,-0.718969,3.08681,-1.30558,-1.10267,3.00602,-1.27195,-1.16201,3.02187,10_37_357
-1.24944,0.5107,3.0751,-1.30653,0.31757,3.03281,-1.2736,-0.0438251,3.00693,-1.26707,-0.115943,3.00372,-1.35126,0.193782,2.89442,-1.43314,0.0704689,2.75255,-1.38396,-0.175334,2.75326,-1.36772,-0.25682,2.7575,-1.25614,0.191777,3.17277,-1.25737,-0.00552128,3.02661,-1.24207,-0.269819,3.02068,-1.24145,-0.373586,3.00269,-1.28245,-0.182908,2.93232,-1.28981,-0.682816,2.87484,-1.31301,-1.07483,2.86164,-1.28179,-1.14447,2.85654,-1.23884,-0.188194,3.05894,-1.25623,-0.718969,3.08681,-1.30558,-1.10267,3.00602,-1.27195,-1.16201,3.02187,10_37_357
